384 3648 64    384 3712 128    320 3712 128    320 3776 128    256 3776 192    256 3840 192    256 3776 128    256 3840 128    
1664 3200 -1152    1728 3136 -1280    1664 3200 -1152    1664 3264 -1216    1600 3328 -1152    1536 3328 -1152    1536 3328 -1152    1408 3392 -1216    
1472 3328 -1152    1472 3328 -1216    1536 3328 -1408    1472 3328 -1344    1536 3392 -1280    1536 3264 -1280    1536 3264 -1344    1536 3264 -1344    
1600 3328 -1408    1536 3264 -1280    1536 3264 -1216    1472 3264 -1280    1536 3264 -1280    1600 3136 -1152    1600 3136 -1216    1664 3200 -1344    
1600 3200 -1344    1600 3200 -1216    1600 3264 -1088    1600 3264 -1152    1536 3264 -1152    1536 3328 -1152    1536 3328 -1088    1600 3328 -1152    
1536 3392 -1152    1536 3328 -1024    1536 3264 -1152    1536 3264 -1152    1536 3328 -1152    1600 3328 -1280    1600 3328 -1344    1472 3328 -1216    
1536 3456 -1216    1472 3392 -1216    1472 3328 -1088    1472 3328 -1152    1472 3392 -1280    1536 3392 -1280    1472 3328 -1408    1408 3328 -1216    
1408 3392 -1216    1408 3456 -1280    1408 3456 -1280    1600 3392 -1280    1600 3392 -1280    1536 3392 -1216    1536 3456 -1408    1536 3456 -1344    
1472 3456 -1280    1472 3392 -1344    1536 3328 -1344    1600 3328 -1344    1536 3264 -1216    1472 3264 -1280    1472 3264 -1216    1408 3200 -1216    
1344 3264 -1152    1408 3200 -1152    1344 3264 -1152    1408 3264 -1280    1344 3200 -1216    1344 3200 -1216    1472 3200 -1344    1472 3136 -1280    
1536 3200 -1216    1600 3200 -1280    1600 3200 -1344    1600 3200 -1280    1664 3200 -1216    1664 3264 -1024    1664 3264 -1088    1536 3264 -1088    
1600 3200 -1088    1536 3264 -1088    1536 3264 -1024    1472 3264 -960    1536 3264 -1088    1536 3264 -1152    1600 3264 -1088    1600 3264 -1152    
1600 3328 -1152    1536 3328 -1152    1536 3264 -1088    1536 3328 -1152    1536 3328 -1216    1536 3328 -1280    1536 3328 -1280    1536 3328 -1344    
1472 3328 -1280    1536 3264 -1088    1600 3264 -1216    1536 3264 -1280    1536 3264 -1152    1536 3264 -1216    1536 3328 -1152    1600 3264 -1152    
1600 3264 -1216    1536 3200 -1088    1536 3200 -1088    1536 3200 -1280    1536 3200 -1216    1536 3264 -1152    1344 3456 -1536    1472 3264 -1216    
1472 3392 -1216    1600 3328 -1280    1600 3328 -1216    1600 3328 -1152    1600 3328 -1152    1600 3392 -1152    1600 3392 -1152    1536 3392 -1088    
1536 3392 -1088    1536 3328 -1024    1536 3392 -1088    1600 3328 -1216    1536 3328 -1152    1472 3328 -1152    1536 3264 -1152    1600 3200 -1216    
1600 3264 -1216    1664 3264 -1216    1536 3264 -1152    1536 3264 -1152    1600 3264 -1152    1536 3264 -1088    1472 3328 -1024    1600 3328 -1088    
1600 3328 -1088    1536 3328 -1280    1536 3328 -1216    1600 3264 -1280    1600 3264 -1216    1600 3328 -1280    1600 3328 -1152    1664 3328 -1152    
1664 3264 -1088    1600 3264 -1152    1536 3328 -1152    1600 3328 -1088    1536 3328 -1024    1536 3328 -1088    1536 3328 -1088    1536 3392 -1088    
1472 3392 -1088    1472 3392 -1088    1536 3392 -1088    1600 3392 -1216    1600 3392 -1152    1600 3328 -1216    1600 3328 -1216    1536 3328 -1152    
1536 3392 -1216    1536 3392 -1152    1536 3392 -1088    1536 3328 -1152    1536 3328 -1088    1600 3328 -1152    1536 3328 -1152    1472 3328 -1088    
1472 3328 -1088    1472 3200 -1024    1472 3264 -1088    1536 3264 -1024    1472 3264 -1024    1536 3264 -960    1472 3264 -1024    1472 3264 -1024    
1536 3328 -1088    1536 3264 -1088    1536 3264 -1152    1536 3264 -1088    1536 3264 -960    1472 3328 -1024    1536 3328 -1088    1536 3392 -1088    
1536 3328 -1088    1600 3264 -960    1536 3328 -960    1536 3328 -960    1472 3328 -1024    1536 3328 -1088    1472 3328 -1088    1536 3264 -1088    
1600 3392 -1024    1472 3392 -1024    1536 3264 -1088    1600 3264 -1088    1472 3264 -1088    1472 3328 -1152    1472 3328 -1152    1600 3392 -1152    
1408 3328 -1088    1408 3264 -1088    1536 3328 -1024    16390 13 -16132    1472 3392 -1024    1536 3328 -1088    1536 3264 -1024    1600 3328 -1024    
1664 3456 -1024    1600 3392 -1088    1536 3392 -1088    1536 3392 -1088    1600 3328 -1024    1408 3328 -960    1536 3392 -960    1536 3392 -960    
1600 3456 -960    1472 3392 -960    1408 3392 -960    1408 3456 -1024    1472 3392 -960    1472 3392 -960    1664 3968 -704    1536 3584 -832    
1472 3392 -1024    1408 3328 -1088    1536 3264 -1088    1536 3264 -1088    1600 3392 -1088    1536 3328 -1088    1472 3264 -1152    1472 3392 -1216    
1472 3264 -1024    1472 3328 -1152    1472 3328 -1088    1472 3264 -1088    1536 3328 -1024    1536 3264 -1152    1536 3328 -1216    1536 3264 -1152    
6 -32755 251    1536 3264 -1152    1536 3264 -1152    1536 3264 -1088    1600 3392 -1152    1536 3328 -1088    1600 3328 -1088    1472 3264 -1152    
1536 3392 -1216    1600 3392 -1216    1472 3456 -1152    1472 3392 -1152    1600 3392 -1088    1472 3264 -1088    1472 3392 -1152    1408 3392 -1216    
1536 3392 -1152    1344 3328 -1280    1344 3392 -1216    1472 3456 -1280    1472 3456 -1280    1280 3392 -1216    1536 3584 -1216    1408 3520 -1152    
1536 3712 -1152    1472 3648 -1152    1408 3584 -1024    1408 3520 -1024    1472 3456 -1024    1536 3456 -1088    -32762 13 -32516    1664 3264 -1024    
1728 3392 -1088    1536 3264 -1024    1536 3264 -1152    1536 3328 -1152    1536 3392 -1152    1664 3456 -1088    1600 3392 -1088    1792 3456 -1152    
1792 3584 -1216    1664 3456 -1216    1536 3328 -1152    1600 3392 -1152    1792 3456 -1152    1920 3392 -1216    1408 3072 -1216    1472 3200 -1280    
1792 3264 -1344    1600 3008 -1280    1664 3264 -1280    1728 3200 -1280    1792 3264 -1216    1600 3072 -1216    1536 3008 -1216    1920 3264 -1216    
1984 3264 -1216    1920 3200 -1280    2176 3456 -1344    2048 3392 -1344    1920 3200 -1280    2048 3200 -1280    1984 3200 -1280    1984 3264 -1280    
1984 3264 -1216    1728 3136 -1216    1728 3264 -1216    1792 3136 -1152    1792 3200 -1088    1792 3200 -1088    1600 3072 -1216    1536 3008 -1216    
1536 3072 -1152    1536 3072 -1088    1536 3072 -1024    1600 3200 -1088    1600 3200 -1088    1536 3200 -1024    1600 3200 -1088    1664 3136 -1024    
1600 3072 -1024    1664 3008 -1024    1792 3072 -1024    1728 3072 -1024    1728 3136 -960    1728 3072 -1088    1728 3072 -1088    1728 3136 -1088    
1664 3200 -1152    1664 3200 -1088    1664 3200 -1088    1600 3136 -1152    1664 3136 -1088    1600 3200 -1088    1664 3200 -1088    1728 3200 -960    
1664 3200 -960    1664 3200 -960    1664 3200 -1024    1664 3200 -960    1600 3200 -832    1664 3264 -896    1728 3328 -896    1792 3392 -960    
1856 3392 -960    1792 3328 -1024    1664 3328 -960    1536 3264 -896    1536 3200 -896    1600 3136 -832    1536 3136 -768    1600 3200 -704    
1600 3200 -704    1600 3136 -640    1600 3136 -640    1600 3136 -704    1600 3136 -768    1600 3200 -704    1664 3264 -704    1536 3328 -640    
1536 3264 -704    1472 3264 -704    1600 3392 -576    1600 3392 -640    1664 3456 -576    1728 3520 -448    1728 3520 -576    1792 3584 -512    
1856 3648 -448    1920 3712 -384    1920 3712 -448    1984 3648 -448    1984 3584 -448    2048 3584 -448    2048 3520 -384    2112 3456 -512    
2048 3392 -448    2048 3456 -384    2048 3520 -384    2112 3520 -384    2048 3520 -320    2048 3520 -320    1984 3520 -256    2048 3456 -256    
1984 3392 -320    1984 3328 -384    1920 3392 -384    1920 3520 -384    1920 3584 -320    1920 3648 -256    1856 3648 -192    1792 3520 -192    
1792 3456 -192    1792 3456 -192    1792 3456 -256    1792 3392 -320    1728 3328 -256    1664 3392 -192    1600 3392 -320    1600 3328 -192    
1664 3328 -192    1600 3328 -128    1472 3328 -128    1408 3328 -128    1344 3264 -128    1280 3136 -192    1344 3008 -128    1280 2944 -192    
1280 2944 -192    1216 2944 -256    1152 3008 -256    1152 3072 -256    1024 3008 -320    960 3008 -320    896 3008 -256    768 3008 -256    
768 3008 -320    768 3008 -384    704 3008 -448    768 3008 -512    896 3072 -576    896 3072 -768    1024 3072 -832    1024 3072 -896    
1152 3136 -896    1216 3072 -1088    1408 3008 -1088    1600 3072 -1088    1600 3072 -832    1664 3072 -896    1728 3072 -960    1792 3136 -896    
1792 3136 -896    1856 3072 -832    1920 3200 -832    1984 3200 -1024    2112 3136 -1024    2112 3072 -1024    2176 3008 -1024    2240 3072 -960    
2240 3136 -1088    2304 3136 -1024    2304 3200 -1088    2496 3200 -1088    2560 3136 -1152    2496 2944 -832    2816 3328 -768    2752 3008 -1408    
3008 2944 -1216    3584 3136 -3200    4544 4800 -6848    2880 3264 -3904    2944 2560 -1664    3136 2816 -1216    2944 2688 -768    2816 2304 -448    
2880 2176 -768    2688 2304 -1216    2752 2368 -1152    2752 2176 -256    2624 2560 0    2560 1728 320    2880 2240 -512    2944 2944 -1024    
2624 2752 -896    2752 3072 -512    2816 3264 -384    2688 2560 320    2496 1984 384    2624 1856 256    2688 1728 320    3200 2112 -192    
3328 2048 -512    3328 1984 -576    3392 2176 -448    3200 2432 -896    3136 2432 -448    3072 2432 -192    4032 1088 1600    3264 1536 1536    
2624 2240 2048    3008 1344 448    2816 1536 1024    3264 2176 128    3136 1728 -128    2880 1600 512    3072 1920 384    3008 1792 128    
3328 2496 -128    3072 2304 128    2944 2560 -64    2816 2688 -128    3712 4672 -512    3264 2880 128    3392 3072 64    3328 2688 448    
2944 2560 384    2816 1984 448    2560 2048 512    2560 2240 384    2752 2560 64    2624 2624 128    2624 2496 192    2752 2688 64    
2752 2624 128    2624 2688 -64    2688 2752 64    2560 2816 256    2560 3072 256    2752 3200 448    2880 3264 704    2944 3264 704    
2752 3264 768    2880 3328 576    2944 3520 -128    2496 3520 640    2240 2944 896    2112 2816 512    2304 2944 192    2368 2944 192    
2240 2944 640    2176 2816 704    2112 2304 768    1792 2176 832    2112 2944 256    2112 2880 512    5952 1856 832    4736 3712 768    
4672 3264 1088    3392 3584 1344    3136 3136 1216    1792 1792 1536    1408 2816 1856    3840 3968 2560    3520 2176 2432    3456 2432 1600    
2752 3264 704    2816 3328 960    2752 3200 1024    2880 2752 960    2432 2752 1280    2624 2496 1472    2368 2432 1856    2432 2240 1856    
2560 3328 1152    2368 2944 1216    2432 2688 1600    2496 2624 1728    2496 2432 1472    2496 2240 1344    2368 2240 1408    2368 2368 1536    
2368 2496 1536    2304 3648 1088    2368 3136 768    2496 3008 768    2432 3072 832    2368 2944 1152    2368 2816 1216    2304 2752 1216    
2368 2624 1152    2240 2496 1024    2304 2432 1088    2368 2560 1088    2496 2688 1152    2496 2752 1152    2432 2688 1024    2368 2432 768    
2368 2432 768    2368 2496 768    2368 2752 896    2304 2944 896    2240 3008 1024    2304 3200 832    2240 3072 832    2176 2496 832    
2112 2368 832    2176 2624 832    2560 2688 704    2560 2752 704    2432 2752 896    2368 2752 704    2304 2816 960    2304 2816 1152    
2432 3200 768    2304 3264 448    2304 3456 128    2304 3648 -384    2368 3520 -896    2240 3264 -64    2368 3072 64    2496 2816 576    
2432 2752 1472    2432 2560 1536    2432 2496 1280    2432 2496 1152    2304 2752 960    2368 3008 960    2304 3008 896    2304 3072 1088    
2432 2944 1088    2368 2752 1344    2304 2624 1536    2368 2432 1408  
